element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"232.0155"	"0.0009"	"232.0155"	"0.0009"	"83"	""		"16.265137"	"21.60728"	"3s2.3p2.(3P).4p"	"2D*"	"5/2"	"3s2.3p2.(3P).7s"	"2P"	"3/2"	6	4		""	"L5883"	
Fe	2	"232.01593"	"0.00009"	"232.015884"	"0.000011"	"1000"	"6.8e+07"	D+	"7.7058106"	"13.0479501"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(3P2).4d"	"2D"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Mn	2	"232.021"	"0.0015"	"232.02082"	"0.00016"	"15"	""		"3.418399"	"8.7604253"	"3d5.(4G).4s"	"a 5G"	"5"	"3d5.(4D).4p"	"y 5F*"	"5"	11	11		""	"L562"	
Cr	2	"232.02667"	"0.00016"	"232.026789"	"0.000011"	"6"	""		"3.88701293"	"9.22890141"	"3d5"	"a 2D"	"5/2"	"3d4.(a 1G).4p"	"x 2F*"	"5/2"	6	6		""	"L18847"	
Fe	1	"232.03576"	"0.00002"	"232.035752"	"0.000008"	"3090"	"1.41e+07"	C	"0.05156912"	"5.39325126"	"3d6.4s2"	"a 5D"	"3"	"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"4"	7	9		"T5720"	"L11631"	
Cr	2	"232.03847"	"0.00004"	"232.038463"	"0.000007"	"15"	""		"2.54388199"	"7.88550172"	"3d5"	"a 4G"	"7/2"	"3d4.(3H).4p"	"z 4H*"	"7/2"	8	8		""	"L18847"	
Fe	2	"232.040465"	"0.000016"	"232.040492"	"0.000011"	"7000"	"2.7e+07"	D+	"7.7058106"	"13.0473836"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(3P2).4d"	"4P"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Mn	2	"232.042"	"0.002"	"232.0386"	"0.0005"	"60*"	"1.2e+08"	D	"4.800700"	"10.142318"	"3d6"	"a 1I"	"6"	"3d5.(2I).4p"	"z 1I*"	"6"	13	13		"c88"	"L562"	
Mn	2	"232.042"	"0.002"	"232.04224"	"0.00011"	"60*"	""		"4.0712369"	"9.4127696"	"3d5.(4D).4s"	"b 5D"	"1"	"3d5.(4D).4p"	"y 3P*"	"2"	3	5		""	"L562"	
Fe	2	"232.06164"	"0.00015"	"232.061829"	"0.000011"	"800"	""		"7.6931007"	"13.0341827"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"5/2"	"3d6.(5D).5d"	"4D"	"5/2"	6	6		""	"L18349c139"	
Fe	2	"232.06954"	"0.00013"	"232.069678"	"0.000011"	"3200"	"1.3e+07"	D+	"5.58919550"	"10.9300968"	"3d6.(5D).4p"	"z 4F*"	"5/2"	"3d6.(5D).4d"	"4P"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Ti	2	"232.074"	""	"232.076042"	"0.000016"	"2:"	""		"1.16493098"	"6.50568584"	"3d3"	"a 4P"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"4F*"	"5/2"	4	6		""	"L5432"	
Mn	2	"232.087"	"0.0015"	"232.08729"	"0.00016"	"1"	""		"3.419929"	"8.7604253"	"3d5.(4G).4s"	"a 5G"	"4"	"3d5.(4D).4p"	"y 5F*"	"5"	9	11		""	"L562"	
Fe	2	"232.09330"	"0.00009"	"232.093328"	"0.000012"	"1200"	"2.1e+07"	D+	"7.7173363"	"13.0576934"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3P2).4d"	"2P"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"232.1052"	"0.0005"	"232.105848"	"0.000013"	"1300"	""		"2.57958587"	"7.9196550"	"3d7"	"a 2H"	"9/2"	"3d6.(3F2).4p"	"y 4G*"	"11/2"	10	12		""	"L18349c142"	
Fe	2	"232.1140"	"0.0003"	"232.113964"	"0.000011"	"400"	"1.2e+06"	D	"7.7058106"	"13.0456930"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(3H).4d"	"4F"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"232.11630"	"0.00018"	"232.116168"	"0.000011"	"320"	"2.8e+06"	D+	"8.1308918"	"13.4707235"	"3d6.(3G).4p"	"x 4G*"	"11/2"	"3d6.(1I).5s"	"2I"	"13/2"	12	14		"T6892c83"	"L18349c139"	
Fe	2	"232.124284"	"0.000015"	"232.124291"	"0.000011"	"10000"	"6.8e+07"	D+	"7.5576776"	"12.8973225"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(5D).5d"	"4F"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"232.12913"	"0.00008"	"232.129331"	"0.000011"	"1200"	"2.2e+07"	D+	"7.5682105"	"12.9077394"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(3P2).4d"	"4F"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Cr	2	"232.13716"	"0.00017"	"232.137235"	"0.000011"	"5"	""		"9.22735958"	"14.56670671"	"3d4.(3D).4p"	"w 4F*"	"7/2"	"3d4.(5D).6d"	"4F"	"9/2"	8	10		""	"L18847"	
Ni	1	"232.138"	""	"232.13831"	""	"1900"	"5.6e+08"	E	"0.2748172"	"5.6141395"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"	5	7		"T3861"	"L3475"	
Ti	2	"232.143"	""	"232.143412"	"0.000016"	"1:"	""		"1.16493098"	"6.5041360"	"3d3"	"a 4P"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"4D*"	"3/2"	4	4		""	"L5432"	
Fe	2	"232.14941"	"0.00006"	"232.149391"	"0.000012"	"2700"	"3.7e+07"	D+	"7.7066254"	"13.0456930"	"3d6.(3F2).4p"	"y 4F*"	"9/2"	"3d6.(3H).4d"	"4F"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Mn	2	"232.154"	"0.0015"	"232.15288"	"0.00011"	"1"	""		"4.073782"	"9.4127696"	"3d5.(4D).4s"	"b 5D"	"3"	"3d5.(4D).4p"	"y 3P*"	"2"	7	5		""	"L562"	
Al	1	"232.1562"	""	"232.1562"	""	"9"	""		"3.613244"	"8.952155"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4P*"	"5/2"	6	6		""	"L4737"	
Fe	2	"232.16895"	"0.00003"	"232.168942"	"0.000011"	"14000"	"1.0e+07"	D+	"2.80665448"	"8.1452725"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(3G).4p"	"x 4G*"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Fe	2	"232.175573"	"0.000012"	"232.175553"	"0.000011"	"25000"	"1.55e+08"	C+	"7.5165973"	"12.8550633"	"3d6.(3H).4p"	"z 4G*"	"11/2"	"3d6.(5D).5d"	"4F"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Ar	2	"232.2081"	"0.0006"	"232.208309"	"0.000003"	"2"	""		"19.680048951"	"25.017761960"	"3s2.3p4.(3P).4p"	"2D*"	"5/2"	"3s2.3p4.(3P).5d"	"4P"	"5/2"	6	6		""	"L14821"	
O	2	"232.2142"	""	"232.2141"	""	"9"	""		"26.379157"	"31.7167360"	"2s.2p4"	"2P"	"1/2"	"2s2.2p2.(3P).4f D"	"2[2]*"	"3/2"	2	4		""	"L10621"	
Ne	2	"232.2175"	"0.0010"	"232.2177"	"0.0008"	"12"	""		"34.77428890"	"40.111787"	"2s2.2p4.(3P).3d"	"2D"	"3/2"	"2s2.2p4.(3P<2>).8f"	"2[2]*"	"5/2"	4	6		""	"L1406"	
Fe	2	"232.2222"	"0.0003"	"232.222134"	"0.000012"	"500"	""		"7.5491010"	"12.8864963"	"3d6.(3H).4p"	"z 4H*"	"11/2"	"3d6.(5D).5d"	"6F"	"11/2"	12	12		""	"L18349c139"	
Na	2	"232.2264"	"0.0003"	"232.227"	"0.003"	"40bl*"	""		"41.267140"	"46.60442"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<1/2>).8f"	"2[5/2]"	"2,3"	7	12		""	"L914"	
Na	2	"232.2264"	"0.0003"	"232.227"	"0.003"	"40bl*"	""		"41.267140"	"46.60442"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<1/2>).8f"	"2[7/2]"	"3,4"	7	16		""	"L914"	
Fe	2	"232.22690"	"0.00008"	"232.226881"	"0.000011"	"1100"	"2.7e+07"	D+	"7.9196550"	"13.2569411"	"3d6.(3F2).4p"	"y 4G*"	"11/2"	"3d6.(3F2).4d"	"2G"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Fe	2	"232.23298"	"0.00007"	"232.232961"	"0.000011"	"5000"	"6.8e+06"	D+	"2.85551515"	"8.1926616"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3G).4p"	"x 4G*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Mn	2	"232.233"	"0.0015"	"232.23263"	"0.00022"	"8"	""		"5.815271"	"11.152425"	"3d5.(2D).4s"	"b 1D"	"2"	"3d5.(a 2G).4p"	"x 1F*"	"3"	5	7		""	"L562"	
Fe	2	"232.24885"	"0.00008"	"232.248852"	"0.000011"	"1200"	"1.1e+07"	D+	"7.7173363"	"13.0541176"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(5D).5d"	"6G"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"232.26626"	"0.00009"	"232.266304"	"0.000011"	"1000"	"1.9e+07"	D+	"7.5428961"	"12.8792764"	"3d6.(3H).4p"	"z 4H*"	"13/2"	"3d6.(3H).4d"	"4I"	"15/2"	14	16		"T6892c83"	"L18349c139"	
Ni	1	"232.268"	""	""	""	"240"	""		""	""	""	""	""	""	""	""				""	"L3475"	
Fe	2	"232.27124"	"0.00019"	"232.271286"	"0.000011"	"400"	"7.2e+06"	D+	"7.6973256"	"13.0335915"	"3d6.(3H).4p"	"z 2G*"	"9/2"	"3d6.(3H).4d"	"2G"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Cr	2	"232.27243"	"0.00011"	"232.272479"	"0.000011"	"5"	""		"8.22694136"	"13.56317985"	"3d4.(a 3P).4p"	"y 4P*"	"3/2"	"3d4.(5D).5d"	"6S"	"5/2"	4	6		""	"L18847"	
Fe	2	"232.2729"	"0.0003"	"232.272932"	"0.000016"	"190"	""		"8.2589171"	"13.5951452"	"3d6.(3G).4p"	"x 4F*"	"3/2"	"3d6.(3D).5s"	"2D"	"5/2"	4	6		""	"L18349c139"	
Cr	2	"232.28020"	"0.00015"	"232.280101"	"0.000016"	"3"	""		"8.27306662"	"13.6091300"	"3d4.(a 3P).4p"	"y 4P*"	"5/2"	"3d4.(3G).4d"	"4F"	"5/2"	6	6		""	"L18847"	
Cr	2	"232.28273"	"0.00002"	"232.282768"	"0.000011"	"34"	""		"8.34832442"	"13.68432654"	"3d4.(3H).4p"	"y 4G*"	"7/2"	"3d4.(5D).5d"	"4G"	"9/2"	8	10		""	"L18847"	
Cr	2	"232.28822"	"0.00004"	"232.288221"	"0.000011"	"17"	""		"9.23482757"	"14.57070446"	"3d4.(3D).4p"	"x 4P*"	"5/2"	"3d4.(5D).6d"	"4F"	"7/2"	6	8		""	"L18847"	
Fe	2	"232.294098"	"0.000014"	"232.294102"	"0.000011"	"11000"	"3.22e+08"	B+	"7.5824802"	"12.9182220"	"3d6.(3H).4p"	"z 4H*"	"7/2"	"3d6.(3H).4d"	"4I"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Cr	1	"232.297"	"0.005"	"232.298210"	"0.000009"	"2"	""		"0.94143042"	"6.27707788"	"3d5.(6S).4s"	"a 5S"	"2"	"3d5.(4D).4p"	"u 5D*"	"3"	5	7		""	"L808"	
Cu	2	"232.30039"	"0.00005"	"232.300409"	"0.000006"	"200000"	""		"9.09464957"	"14.43024652"	"3d9.4p"	"3D*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"2"	5	5		""	"L869c171"	
Hg	1	"232.303"	"0.003"	"232.3076"	"0.0009"	""	""		"4.8864946"	"10.221927"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.11d"	"3D"	"2"	3	5		""	"L7591"	
Hg	1	"232.3197"	"0.0004"	"232.3200"	"0.0004"	"20"	""		"4.8864946"	"10.221642"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.11d"	"3D"	"1"	3	3		""	"L3451"	
Fe	2	"232.32703"	"0.00011"	"232.327051"	"0.000011"	"1000"	"3.0e+07"	D+	"7.5576776"	"12.8926628"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(3H).4d"	"4H"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"232.34217"	"0.00011"	"232.342398"	"0.000011"	"1000bl(Fe I)"	"7.2e+06"	D+	"7.5576776"	"12.8923104"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(3G).5s"	"e 2G"	"7/2"	8	8		"T6892c83"	"L18349c148"	
Fe	1	"232.34219"	"0.00018"	"232.342091"	"0.000017"	"22bl*"	""		"0.05156912"	"5.3862090"	"3d6.4s2"	"a 5D"	"3"	"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"4"	7	9		""	"L11631"	
Fe	1	"232.34219"	"0.00018"	"232.34211"	"0.00016"	"22bl*"	""		"2.39920471"	"7.733844"	"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"5"	""	"62377e"	"4"	11	9		""	"L11631"	
C	2	"232.352"	"0.003"	"232.3522"	"0.0016"	"2"	"1.40e+00"	A	"0.0000000000"	"5.33441"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"3/2"	2	4		"T7354n,T7194n"	"L22145,L4509,L11613,L17711"	
Fe	2	"232.35535"	"0.00013"	"232.355295"	"0.000011"	"600"	"1.2e+07"	D+	"8.1040544"	"13.4383911"	"3d6.(3H).4p"	"z 2H*"	"11/2"	"3d6.(3G).4d"	"4H"	"11/2"	12	12		"T6892c83"	"L18349c139"	
Hg	1	"232.356"	"0.003"	"232.3600"	"0.0009"	""	""		"4.8864946"	"10.22072"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.11d"	"1D"	"2"	3	5		""	"L7591"	
Cr	2	"232.35837"	"0.00003"	"232.358380"	"0.000011"	"21"	""		"8.35074083"	"13.68500672"	"3d4.(3H).4p"	"y 4G*"	"9/2"	"3d4.(5D).5d"	"4G"	"11/2"	10	12		""	"L18847"	
Fe	1	"232.3623"	"0.0003"	"232.362544"	"0.000011"	"0d?"	""		"0.0000000"	"5.33417031"	"3d6.4s2"	"a 5D"	"4"	"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"4"	9	9		""	"L11631c80"	
Fe	2	"232.3672"	"0.0005"	"232.367737"	"0.000012"	"1500bl(Fe II)?"	""		"2.70434897"	"8.0384001"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(3P2).4p"	"z 2P*"	"3/2"	4	4		""	"L18349c143"	
Fe	2	"232.37152"	"0.00018"	"232.371505"	"0.000012"	"400"	"6.1e+06"	D+	"8.1279417"	"13.4619063"	"3d6.(3H).4p"	"z 2H*"	"9/2"	"3d6.(3G).4d"	"4H"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Cr	2	"232.388029"	"0.000014"	"232.388014"	"0.000011"	"59"	""		"8.35074083"	"13.68432654"	"3d4.(3H).4p"	"y 4G*"	"9/2"	"3d4.(5D).5d"	"4G"	"9/2"	10	10		""	"L18847"	
Cu	2	"232.39280"	"0.00006"	"232.392802"	"0.000007"	"86000"	""		"8.86410828"	"14.19758413"	"3d9.4p"	"1D*"	"2"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"1"	5	3		""	"L869c171"	
Fe	2	"232.40818"	"0.00006"	"232.408205"	"0.000011"	"1800"	"2.8e+07"	D+	"7.5746170"	"12.9077394"	"3d6.(3P2).4p"	"z 2D*"	"5/2"	"3d6.(3P2).4d"	"4F"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Ne	2	"232.4165"	"0.0010"	"232.4165"	"0.0005"	"12"	""		"34.63187052"	"39.964802"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	"2s2.2p4.(3P<0>).7f"	"2[3]*"	"5/2"	4	6		""	"L1406"	
Al	2	"232.4199"	""	"232.4198"	""	"350"	"3.46e+07"	C+	"11.846618"	"17.17947"	"3s.3d"	"3D"	"3"	"3s.6f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Ar	2	"232.44270"	"0.00004"	"232.442679"	"0.000004"	"11"	""		"18.28805528"	"23.620386781"	"3s2.3p4.(3P).3d"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	4	6		""	"L11520"	
Cr	2	"232.443744"	"0.000013"	"232.443758"	"0.000011"	"110"	""		"8.35269998"	"13.68500672"	"3d4.(3H).4p"	"y 4G*"	"11/2"	"3d4.(5D).5d"	"4G"	"11/2"	12	12		""	"L18847"	
Fe	2	"232.45792"	"0.00004"	"232.457906"	"0.000016"	"2100"	"4.0e+07"	D+	"7.9877322"	"13.3197144"	"3d6.(3F2).4p"	"z 2F*"	"5/2"	"3d6.(3F2).4d"	"2D"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Mn	2	"232.466"	"0.0015"	"232.46551"	"0.00022"	"10"	""		"3.803774"	"9.1355822"	"3d6"	"a 3H"	"5"	"3d5.(4D).4p"	"y 3F*"	"4"	11	9		""	"L562"	
C	2	"232.472"	"0.003"	"232.4716"	"0.0016"	"28"	"5.99e+01"	A	"0.0000000000"	"5.33167"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"1/2"	2	2		"T7354n,T7194n"	"L22145,L4509,L11613,L17711,L1122"	
Cr	2	"232.47352"	"0.00003"	"232.473548"	"0.000011"	"28"	""		"8.34832442"	"13.67994792"	"3d4.(3H).4p"	"y 4G*"	"7/2"	"3d4.(5D).5d"	"4G"	"7/2"	8	8		""	"L18847"	
Fe	2	"232.47506"	"0.00011"	"232.475033"	"0.000012"	"600"	"3.6e+06"	D	"7.7025932"	"13.0341827"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(5D).5d"	"4D"	"5/2"	4	6		"T6892c83"	"L18349c139"	
O	2	"232.4797"	""	"232.4803"	""	"3"	"6.70e+06"	D	"26.3047208"	"31.636190"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"	4	2		"T5723LS"	"L10621"	
Fe	2	"232.48159"	"0.00003"	"232.481580"	"0.000012"	"4000"	"5.4e+07"	D+	"7.5682105"	"12.8996498"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(3H).4d"	"4G"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Na	2	"232.4927"	"0.0003"	"232.492"	"0.003"	"15"	""		"41.012615"	"46.34382"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).7f"	"2[5/2]"	"2,3"	5	12		""	"L914"	
Fe	2	"232.50336"	"0.00003"	"232.503161"	"0.000011"	"5000bl(Fe II)*"	"2.7e+07"	D+	"7.7066254"	"13.0375699"	"3d6.(3F2).4p"	"y 4F*"	"9/2"	"3d6.(3F2).4d"	"4G"	"9/2"	10	10		"T6892c83"	"L18349c148"	
Fe	2	"232.50336"	"0.00003"	"232.503556"	"0.000010"	"5000bl(Fe II)*"	"1.47e+08"	C+	"7.5617273"	"12.8926628"	"3d6.(3H).4p"	"z 4H*"	"9/2"	"3d6.(3H).4d"	"4H"	"7/2"	10	8		"T6892c83"	"L18349c148"	
Ti	2	"232.50623"	"0.00008"	"232.506274"	"0.000011"	"7"	""		"0.57388034"	"5.90475346"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1G).4p"	"x 2F*"	"5/2"	6	6		""	"u37"	
Fe	2	"232.50990"	"0.00009"	"232.510029"	"0.000012"	"600"	"3.3e+06"	D+	"7.7233696"	"13.0541566"	"3d6.(3H).4p"	"z 2I*"	"13/2"	"3d6.(3F2).4d"	"4H"	"13/2"	14	14		"T6892c83"	"L18349c139"	
Fe	2	"232.51749"	"0.00007"	"232.517585"	"0.000011"	"1700"	""		"7.7173363"	"13.0479501"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3P2).4d"	"2D"	"5/2"	4	6		""	"L18349c139"	
Fe	2	"232.5194"	"0.0005"	"232.518926"	"0.000010"	"600"	"1.0e+07"	D+	"7.5617273"	"12.8923104"	"3d6.(3H).4p"	"z 4H*"	"9/2"	"3d6.(3G).5s"	"e 2G"	"7/2"	10	8		"T6892c83"	"L18349c142"	
Fe	2	"232.5246"	""	"232.524643"	"0.000012"	"1700:"	"8.e+06"	D	"4.49479059"	"9.8252426"	"3d6.(3D).4s"	"b 2D"	"5/2"	"3d5.(6S).4s.4p.(1P*)"	"x 6P*"	"3/2"	6	4		"T6370"	"L7770"	
Cr	2	"232.52888"	"0.00005"	"232.528867"	"0.000011"	"11"	""		"8.34959270"	"13.67994792"	"3d4.(3H).4p"	"y 4G*"	"5/2"	"3d4.(5D).5d"	"4G"	"7/2"	6	8		""	"L18847"	
Fe	2	"232.52945"	"0.00002"	"232.529317"	"0.000010"	"6000"	"1.33e+08"	B+	"7.5165973"	"12.8469422"	"3d6.(3H).4p"	"z 4G*"	"11/2"	"3d6.(3H).4d"	"4H"	"13/2"	12	14		"T6892c83"	"L18349c145"	
Fe	1	"232.5319"	"0.0004"	"232.531664"	"0.000011"	"(6)bl"	""		"0.0000000"	"5.33029109"	"3d6.4s2"	"a 5D"	"4"	"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"5"	9	11		""	"L11631c81"	
Fe	2	"232.53809"	"0.00012"	"232.537972"	"0.000016"	"2600"	"1.2e+07"	D	"4.49479059"	"9.8249371"	"3d6.(3D).4s"	"b 2D"	"5/2"	"3d6.(1D2).4p"	"w 2P*"	"3/2"	6	4		"T6370"	"L18349c139"	
C	2	"232.5407"	"0.0024"	"232.5419"	"0.0016"	"57"	"4.43e+01"	A	"0.007859989"	"5.33792"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"5/2"	4	6		"T7049,T7354,T7194"	"L22145,L4509,L11613,L17711,L1122"	
Fe	2	"232.54247"	"0.00016"	"232.542299"	"0.000011"	"600"	"1.6e+07"	D+	"7.7173363"	"13.0473836"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3P2).4d"	"4P"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Al	2	"232.5436"	""	"232.5437"	""	"10"	"3.85e+06"	C	"11.846618"	"17.17663"	"3s.3d"	"3D"	"3"	"3s.6f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L4575"	
Al	2	"232.5494"	""	"232.5496"	""	"300"	"3.07e+07"	C+	"11.846753"	"17.17663"	"3s.3d"	"3D"	"2"	"3s.6f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Fe	2	"232.56369"	"0.00006"	"232.563697"	"0.000011"	"1900"	"1.3e+07"	D+	"7.7173363"	"13.0468933"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(5D).5d"	"4D"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"232.571468"	"0.000013"	"232.571478"	"0.000010"	"13000"	"3.72e+08"	B+	"7.5617273"	"12.8911060"	"3d6.(3H).4p"	"z 4H*"	"9/2"	"3d6.(3H).4d"	"4K"	"11/2"	10	12		"T6892c83"	"L18349c139"	
Cr	2	"232.57154"	"0.00010"	"232.571607"	"0.000011"	"7"	""		"9.23733099"	"14.56670671"	"3d4.(3D).4p"	"w 4F*"	"9/2"	"3d4.(5D).6d"	"4F"	"9/2"	10	10		""	"L18847"	
Fe	2	"232.57606"	"0.00007"	"232.576147"	"0.000011"	"1500"	"4.0e+06"	D+	"7.5165973"	"12.8458690"	"3d6.(3H).4p"	"z 4G*"	"11/2"	"3d6.(3G).5s"	"e 2G"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Ni	1	"232.579"	""	"232.58012"	""	"1400"	"3.5e+08"	C	"0.1651673"	"5.4943479"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"4"	7	9		"T3861"	"L3475"	
Fe	2	"232.58072"	"0.00006"	"232.580906"	"0.000012"	"7000"	"8.e+07"	D+	"5.60488800"	"10.9340507"	"3d6.(5D).4p"	"z 4D*"	"1/2"	"3d6.(5D).4d"	"4P"	"1/2"	2	2		"T6892c83"	"L18349c148"	
Fe	2	"232.58319"	"0.00008"	"232.583117"	"0.000010"	"1300"	"2.8e+07"	D+	"7.5682105"	"12.8973225"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(5D).5d"	"4F"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Cu	2	"232.59100"	"0.00017"	"232.590832"	"0.000012"	"25000"	""		"9.12471804"	"14.45365331"	"3d9.4p"	"1P*"	"1"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"0"	3	1		""	"L869c171"	
O	2	"232.5918"	""	"232.5921"	""	"6"	"6.69e+06"	D	"26.3047208"	"31.633627"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"	4	4		"T5723LS"	"L10621"	
Mn	2	"232.593"	"0.0015"	"232.59306"	"0.00022"	"30"	""		"3.415425"	"8.7443092"	"3d5.(4G).4s"	"a 5G"	"6"	"3d5.(4G).4p"	"z 3G*"	"5"	13	11		""	"L562"	
Cr	2	"232.60529"	"0.00004"	"232.605304"	"0.000011"	"15"	""		"8.35572282"	"13.68432654"	"3d4.(a 3F).4p"	"y 4F*"	"7/2"	"3d4.(5D).5d"	"4G"	"9/2"	8	10		""	"L18847"	
Fe	2	"232.61545"	"0.00006"	"232.615418"	"0.000011"	"1600"	"3.6e+06"	D	"7.7058106"	"13.0341827"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(5D).5d"	"4D"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Ti	2	"232.618"	""	"232.619313"	"0.000016"	"3:"	""		"1.16095611"	"6.4892390"	"3d3"	"a 4P"	"1/2"	"3d.(2D).4s.4p.(3P*)"	"4D*"	"1/2"	2	2		""	"L5432"	
Fe	2	"232.61855"	"0.00008"	"232.618563"	"0.000011"	"1100"	"1.4e+07"	D+	"7.9286411"	"13.2569411"	"3d6.(3F2).4p"	"y 4G*"	"9/2"	"3d6.(3F2).4d"	"2G"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Mn	2	"232.622"	"0.0015"	"232.62153"	"0.00016"	"12"	""		"3.418399"	"8.7466314"	"3d5.(4G).4s"	"a 5G"	"5"	"3d5.(4G).4p"	"z 3G*"	"4"	11	9		""	"L562"	
Fe	2	"232.622105"	"0.000013"	"232.622115"	"0.000011"	"12000"	"3.12e+08"	B+	"7.5165973"	"12.8448160"	"3d6.(3H).4p"	"z 4G*"	"11/2"	"3d6.(3H).4d"	"4G"	"11/2"	12	12		"T6892c83"	"L18349c139"	
Fe	2	"232.63607"	"0.00005"	"232.63607"	"0.00003"	"7000"	"1.16e+08"	C+	"6.21873433"	"11.5466334"	"3d6.(3F1).4s"	"c 4F"	"9/2"	"3d6.(3F1).4p"	"4D*"	"7/2"	10	8		"T6892c83"	"L18349c139"	
